ano,dia,mes,casamentos
1991,29,Fevereiro,NA
1991,29,Março,1
1991,29,Abril,48
1991,29,Maio,82
1991,29,Junho,728
1991,29,Julho,85
1991,29,Agosto,66
1991,29,Setembro,235
1991,29,Outubro,28
1991,29,Novembro,73
1991,29,Dezembro,333
1991,30,Janeiro,47
1991,30,Fevereiro,NA
1991,30,Março,111
1991,30,Abril,50
1991,30,Maio,38
1991,30,Junho,183
1991,30,Julho,59
1991,30,Agosto,93
1991,30,Setembro,79
1991,30,Outubro,53
1991,30,Novembro,454
1991,30,Dezembro,132
1991,31,Janeiro,49
1991,31,Fevereiro,NA
1991,31,Março,105
1991,31,Abril,NA
1991,31,Maio,70
1991,31,Junho,NA
1991,31,Julho,66
1991,31,Agosto,1293
1991,31,Setembro,NA
1991,31,Outubro,79
1991,31,Novembro,NA
1991,31,Dezembro,65
1992,01,Janeiro,36
1992,01,Fevereiro,334
1992,01,Março,124
1992,01,Abril,33
1992,01,Maio,45
1992,01,Junho,34
1992,01,Julho,37
1992,01,Agosto,1729
1992,01,Setembro,42
1992,01,Outubro,52
1992,01,Novembro,21
1992,01,Dezembro,8
1992,02,Janeiro,59
1992,02,Fevereiro,68
1992,02,Março,26
1992,02,Abril,52
1992,02,Maio,1001
1992,02,Junho,44
1992,02,Julho,51
1992,02,Agosto,512
1992,02,Setembro,54
1992,02,Outubro,93
1992,02,Novembro,30
1992,02,Dezembro,35
1992,03,Janeiro,65
1992,03,Fevereiro,40
1992,03,Março,1
1992,03,Abril,73
1992,03,Maio,189
1992,03,Junho,54
1992,03,Julho,73
1992,03,Agosto,76
1992,03,Setembro,91
1992,03,Outubro,951
1992,03,Novembro,36
1992,03,Dezembro,45
1992,04,Janeiro,749
1992,04,Fevereiro,27
1992,04,Março,50
1992,04,Abril,584
1992,04,Maio,58
1992,04,Junho,58
1992,04,Julho,989
1992,04,Agosto,52
1992,04,Setembro,97
1992,04,Outubro,340
1992,04,Novembro,45
1992,04,Dezembro,91
1992,05,Janeiro,150
1992,05,Fevereiro,52
1992,05,Março,70
1992,05,Abril,120
1992,05,Maio,46
1992,05,Junho,81
1992,05,Julho,171
1992,05,Agosto,107
1992,05,Setembro,1959
1992,05,Outubro,55
1992,05,Novembro,46
1992,05,Dezembro,746
1992,06,Janeiro,67
1992,06,Fevereiro,55
1992,06,Março,78
1992,06,Abril,53
1992,06,Maio,64
1992,06,Junho,862
1992,06,Julho,47
1992,06,Agosto,108
1992,06,Setembro,478
1992,06,Outubro,58
1992,06,Novembro,76
1992,06,Dezembro,160
1992,07,Janeiro,48
1992,07,Fevereiro,66
1992,07,Março,645
1992,07,Abril,32
1992,07,Maio,55
1992,07,Junho,132
1992,07,Julho,37
1992,07,Agosto,120
1992,07,Setembro,72
1992,07,Outubro,58
1992,07,Novembro,496
1992,07,Dezembro,62
1992,08,Janeiro,40
1992,08,Fevereiro,431
1992,08,Março,118
1992,08,Abril,49
1992,08,Maio,75
1992,08,Junho,52
1992,08,Julho,45
1992,08,Agosto,2414
1992,08,Setembro,38
1992,08,Outubro,57
1992,08,Novembro,86
1992,08,Dezembro,94
1992,09,Janeiro,67
1992,09,Fevereiro,67
1992,09,Março,56
1992,09,Abril,50
1992,09,Maio,788
1992,09,Junho,46
1992,09,Julho,63
1992,09,Agosto,662
1992,09,Setembro,55
1992,09,Outubro,72
1992,09,Novembro,43
1992,09,Dezembro,70
1992,10,Janeiro,63
1992,10,Fevereiro,49
1992,10,Março,39
1992,10,Abril,84
1992,10,Maio,194
1992,10,Junho,42
1992,10,Julho,82
1992,10,Agosto,71
1992,10,Setembro,87
1992,10,Outubro,842
1992,10,Novembro,38
1992,10,Dezembro,69
1992,11,Janeiro,526
1992,11,Fevereiro,54
1992,11,Março,40
1992,11,Abril,871
1992,11,Maio,54
1992,11,Junho,68
1992,11,Julho,984
1992,11,Agosto,60
1992,11,Setembro,90
1992,11,Outubro,132
1992,11,Novembro,51
1992,11,Dezembro,64
1992,12,Janeiro,117
1992,12,Fevereiro,57
1992,12,Março,67
1992,12,Abril,112
1992,12,Maio,48
1992,12,Junho,82
1992,12,Julho,229
1992,12,Agosto,120
1992,12,Setembro,1562
1992,12,Outubro,62
1992,12,Novembro,55
1992,12,Dezembro,738
1992,13,Janeiro,28
1992,13,Fevereiro,49
1992,13,Março,28
1992,13,Abril,34
1992,13,Maio,59
1992,13,Junho,613
1992,13,Julho,35
1992,13,Agosto,84
1992,13,Setembro,256
1992,13,Outubro,28
1992,13,Novembro,23
1992,13,Dezembro,92
1992,14,Janeiro,27
1992,14,Fevereiro,80
1992,14,Março,514
1992,14,Abril,51
1992,14,Maio,60
1992,14,Junho,120
1992,14,Julho,48
1992,14,Agosto,130
1992,14,Setembro,61
1992,14,Outubro,41
1992,14,Novembro,462
1992,14,Dezembro,52
1992,15,Janeiro,47
1992,15,Fevereiro,406
1992,15,Março,91
1992,15,Abril,97
1992,15,Maio,80
1992,15,Junho,48
1992,15,Julho,57
1992,15,Agosto,1685
1992,15,Setembro,43
1992,15,Outubro,44
1992,15,Novembro,71
1992,15,Dezembro,52
1992,16,Janeiro,45
1992,16,Fevereiro,53
1992,16,Março,51
1992,16,Abril,57
1992,16,Maio,721
1992,16,Junho,54
1992,16,Julho,65
1992,16,Agosto,626
1992,16,Setembro,55
1992,16,Outubro,52
1992,16,Novembro,45
1992,16,Dezembro,60
1992,17,Janeiro,67
1992,17,Fevereiro,59
1992,17,Março,32
1992,17,Abril,2
1992,17,Maio,151
1992,17,Junho,71
1992,17,Julho,91
1992,17,Agosto,74
1992,17,Setembro,65
1992,17,Outubro,594
1992,17,Novembro,25
1992,17,Dezembro,62
1992,18,Janeiro,421
1992,18,Fevereiro,44
1992,18,Março,53
1992,18,Abril,87
1992,18,Maio,32
1992,18,Junho,28
1992,18,Julho,1252
1992,18,Agosto,67
1992,18,Setembro,99
1992,18,Outubro,91
1992,18,Novembro,40
1992,18,Dezembro,80
1992,19,Janeiro,54
1992,19,Fevereiro,48
1992,19,Março,36
1992,19,Abril,100
1992,19,Maio,22
1992,19,Junho,63
1992,19,Julho,311
1992,19,Agosto,92
1992,19,Setembro,1256
1992,19,Outubro,44
1992,19,Novembro,31
1992,19,Dezembro,1259
1992,20,Janeiro,55
1992,20,Fevereiro,64
1992,20,Março,61
1992,20,Abril,68
1992,20,Maio,48
1992,20,Junho,840
1992,20,Julho,57
1992,20,Agosto,147
1992,20,Setembro,282
1992,20,Outubro,33
1992,20,Novembro,63
1992,20,Dezembro,258
1992,21,Janeiro,38
1992,21,Fevereiro,70
1992,21,Março,508
1992,21,Abril,47
1992,21,Maio,55
1992,21,Junho,149
1992,21,Julho,55
1992,21,Agosto,98
1992,21,Setembro,70
1992,21,Outubro,42
1992,21,Novembro,412
1992,21,Dezembro,87
1992,22,Janeiro,51
1992,22,Fevereiro,510
1992,22,Março,67
1992,22,Abril,66
1992,22,Maio,47
1992,22,Junho,41
1992,22,Julho,64
1992,22,Agosto,2016
1992,22,Setembro,43
1992,22,Outubro,60
1992,22,Novembro,56
1992,22,Dezembro,84
1992,23,Janeiro,49
1992,23,Fevereiro,61
1992,23,Março,44
1992,23,Abril,73
1992,23,Maio,652
1992,23,Junho,63
1992,23,Julho,78
1992,23,Agosto,460
1992,23,Setembro,55
1992,23,Outubro,56
1992,23,Novembro,34
1992,23,Dezembro,94
1992,24,Janeiro,60
1992,24,Fevereiro,27
1992,24,Março,35
1992,24,Abril,87
1992,24,Maio,126
1992,24,Junho,53
1992,24,Julho,106
1992,24,Agosto,65
1992,24,Setembro,57
1992,24,Outubro,590
1992,24,Novembro,27
1992,24,Dezembro,15
1992,25,Janeiro,446
1992,25,Fevereiro,47
1992,25,Março,64
1992,25,Abril,834
1992,25,Maio,49
1992,25,Junho,67
1992,25,Julho,1741
1992,25,Agosto,62
1992,25,Setembro,95
1992,25,Outubro,94
1992,25,Novembro,35
1992,25,Dezembro,17
1992,26,Janeiro,60
1992,26,Fevereiro,48
1992,26,Março,56
1992,26,Abril,174
1992,26,Maio,36
1992,26,Junho,92
1992,26,Julho,415
1992,26,Agosto,65
1992,26,Setembro,1183
1992,26,Outubro,45
1992,26,Novembro,51
1992,26,Dezembro,965
1992,27,Janeiro,56
1992,27,Fevereiro,77
1992,27,Março,78
1992,27,Abril,65
1992,27,Maio,52
1992,27,Junho,764
1992,27,Julho,67
1992,27,Agosto,77
1992,27,Setembro,216
1992,27,Outubro,34
1992,27,Novembro,61
1992,27,Dezembro,323
1992,28,Janeiro,29
1992,28,Fevereiro,92
1992,28,Março,490
1992,28,Abril,46
1992,28,Maio,66
1992,28,Junho,133
1992,28,Julho,57
1992,28,Agosto,112
1992,28,Setembro,50
1992,28,Outubro,46
1992,28,Novembro,475
1992,28,Dezembro,106
1992,29,Janeiro,45
1992,29,Fevereiro,417
1992,29,Março,108
1992,29,Abril,41
1992,29,Maio,92
1992,29,Junho,57
1992,29,Julho,63
1992,29,Agosto,1307
1992,29,Setembro,58
1992,29,Outubro,44
1992,29,Novembro,68
1992,29,Dezembro,64
1992,30,Janeiro,62
1992,30,Fevereiro,NA
1992,30,Março,55
1992,30,Abril,92
1992,30,Maio,804
1992,30,Junho,54
1992,30,Julho,93
1992,30,Agosto,306
1992,30,Setembro,63
1992,30,Outubro,77
1992,30,Novembro,44
1992,30,Dezembro,116
1992,31,Janeiro,51
1992,31,Fevereiro,NA
1992,31,Março,46
1992,31,Abril,NA
1992,31,Maio,145
1992,31,Junho,NA
1992,31,Julho,123
1992,31,Agosto,54
1992,31,Setembro,NA
1992,31,Outubro,426
1992,31,Novembro,NA
1992,31,Dezembro,110
1993,01,Janeiro,20
1993,01,Fevereiro,29
1993,01,Março,41
1993,01,Abril,37
1993,01,Maio,648
1993,01,Junho,30
1993,01,Julho,35
1993,01,Agosto,478
1993,01,Setembro,50
1993,01,Outubro,78
1993,01,Novembro,5
1993,01,Dezembro,23
1993,02,Janeiro,730
1993,02,Fevereiro,31
1993,02,Março,35
1993,02,Abril,83
1993,02,Maio,168
1993,02,Junho,51
1993,02,Julho,77
1993,02,Agosto,74
1993,02,Setembro,65
1993,02,Outubro,874
1993,02,Novembro,23
1993,02,Dezembro,51
1993,03,Janeiro,156
1993,03,Fevereiro,31
1993,03,Março,52
1993,03,Abril,824
1993,03,Maio,42
1993,03,Junho,67
1993,03,Julho,872
1993,03,Agosto,39
1993,03,Setembro,123
1993,03,Outubro,180
1993,03,Novembro,45
1993,03,Dezembro,80
1993,04,Janeiro,54
1993,04,Fevereiro,41
1993,04,Março,51
1993,04,Abril,108
1993,04,Maio,25
1993,04,Junho,77
1993,04,Julho,179
1993,04,Agosto,77
1993,04,Setembro,1895
1993,04,Outubro,49
1993,04,Novembro,44
1993,04,Dezembro,658
1993,05,Janeiro,33
1993,05,Fevereiro,47
1993,05,Março,81
1993,05,Abril,55
1993,05,Maio,50
1993,05,Junho,812
1993,05,Julho,58
1993,05,Agosto,86
